origin,stop_name,destination,travel_time,path
30112_Blue_0,California-O'Hare,30374_Blue_0,840,"['30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30112_Blue_0,California-O'Hare,30374_Blue_0,14620.26535,"['30112_Blue_0', '17013_56_0', '17014_56_0', '5474_56_0', '5475_56_0', '5476_56_0', '17917_56_0', '5478_56_0', '15233_56_0', '18358_56_0', '5481_56_0', '17015_56_0', '15846_56_0', '5487_56_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30112_Blue_0,California-O'Hare,30374_Blue_0,20001.2679,"['30112_Blue_0', '3007_52_0', '3009_52_0', '3010_52_0', '3011_52_0', '3012_52_0', '3013_52_0', '14973_52_0', '3015_52_0', '3016_52_0', '3017_52_0', '3018_52_0', '3019_52_0', '3020_52_0', '3021_52_0', '15861_52_0', '3023_52_0', '636_52_0', '638_52_0', '3024_52_0', '3025_52_0', '3026_52_0', '3028_52_0', '3030_52_0', '15989_52_0', '15679_52_0', '30207_G_0', '30265_G_0', '30032_G_0', '30295_G_0', '30221_G_0', '30074_G_0', '30374_Blue_0']"
30112_Blue_0,California-O'Hare,30374_Blue_0,21147.77064,"['30112_Blue_0', '1330_74_1', '18088_74_1', '1332_74_1', '1333_74_1', '1334_74_1', '18348_74_1', '1339_74_1', '1340_74_1', '17254_74_1', '18306_74_1', '18305_74_1', '17923_74_1', '1345_74_1', '1346_74_1', '6597_74_1', '30236_Brn_0', '30128_Brn_0', '30156_Brn_0', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
30130_Blue_0,Western-O'Hare,30374_Blue_0,720,"['30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30130_Blue_0,Western-O'Hare,30374_Blue_0,14299.81133,"['30130_Blue_0', '17917_56_0', '5478_56_0', '15233_56_0', '18358_56_0', '5481_56_0', '17015_56_0', '15846_56_0', '5487_56_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30130_Blue_0,Western-O'Hare,30374_Blue_0,20397.88888,"['30130_Blue_0', '4060_73_1', '4061_73_1', '4062_73_1', '4063_73_1', '15220_73_1', '4065_73_1', '4066_73_1', '4067_73_1', '4068_73_1', '4070_73_1', '4071_73_1', '4072_73_1', '4073_73_1', '4074_73_1', '4075_73_1', '17785_73_1', '30128_Brn_0', '30156_Brn_0', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
30116_Blue_0,Damen-O'Hare,30374_Blue_0,570,"['30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30116_Blue_0,Damen-O'Hare,30374_Blue_0,14078.58084,"['30116_Blue_0', '5481_56_0', '17015_56_0', '15846_56_0', '5487_56_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30116_Blue_0,Damen-O'Hare,30374_Blue_0,20253.61367,"['30116_Blue_0', '898_72_1', '899_72_1', '900_72_1', '901_72_1', '902_72_1', '903_72_1', '15375_72_1', '17126_72_1', '910_72_1', '15376_72_1', '913_72_1', '915_72_1', '916_72_1', '917_72_1', '918_72_1', '30156_Brn_0', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
30063_Blue_0,Division,30374_Blue_0,450,"['30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30063_Blue_0,Division,30374_Blue_0,13635.09999,"['30063_Blue_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30063_Blue_0,Division,30374_Blue_0,19093.73878,"['30063_Blue_0', '6024_X9_0', '15842_X9_0', '6032_X9_0', '6035_X9_0', '30032_G_0', '30295_G_0', '30221_G_0', '30074_G_0', '30374_Blue_0']"
30272_Blue_0,Chicago-Blue,30374_Blue_0,300,"['30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30272_Blue_0,Chicago-Blue,30374_Blue_0,13389.49005,"['30272_Blue_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30272_Blue_0,Chicago-Blue,30374_Blue_0,19493.56681,"['30272_Blue_0', '561_66_1', '563_66_1', '565_66_1', '566_66_1', '567_66_1', '569_66_1', '572_66_1', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
30272_Blue_0,Chicago-Blue,30374_Blue_0,20371.4504,"['30272_Blue_0', '15347_8_0', '5788_8_0', '5790_8_0', '5792_8_0', '30295_G_0', '30221_G_0', '30074_G_0', '30374_Blue_0']"
30096_Blue_0,Grand-Blue,30374_Blue_0,180,"['30096_Blue_0', '30374_Blue_0']"
