route_id,Direction_ID,From_ID,Arr_From,To_ID,Arr_To,Car_Num,Line,Trip_No,Dep_From,Dep_To
8,0,5150,30048,17060.0,30077.0,70,8,3,30058,30087.0
8,0,17060,30077,17170.0,30099.0,70,8,3,30087,30109.0
8,0,17170,30099,17158.0,30139.0,70,8,3,30109,30149.0
8,0,17158,30139,5155.0,30171.0,70,8,3,30149,30181.0
8,0,5155,30171,16127.0,30205.0,70,8,3,30181,30215.0
8,0,16127,30205,5829.0,30230.0,70,8,3,30215,30240.0
8,0,5829,30230,5830.0,30262.0,70,8,3,30240,30272.0
8,0,5830,30262,5831.0,30303.0,70,8,3,30272,30313.0
8,0,5831,30303,15023.0,30368.0,70,8,3,30313,30378.0
8,0,15023,30368,5833.0,30409.0,70,8,3,30378,30419.0
8,0,5833,30409,17950.0,30450.0,70,8,3,30419,30460.0
8,0,17950,30450,5835.0,30475.0,70,8,3,30460,30485.0
8,0,5835,30475,5836.0,30510.0,70,8,3,30485,30520.0
8,0,5836,30510,5837.0,30525.0,70,8,3,30520,30535.0
8,0,5837,30525,5838.0,30547.0,70,8,3,30535,30557.0
8,0,5838,30547,5839.0,30582.0,70,8,3,30557,30592.0
8,0,5839,30582,5840.0,30616.0,70,8,3,30592,30626.0
8,0,5840,30616,5841.0,30648.0,70,8,3,30626,30658.0
8,0,5841,30648,5842.0,30676.0,70,8,3,30658,30686.0
8,0,5842,30676,17373.0,30717.0,70,8,3,30686,30727.0
8,0,17373,30717,15873.0,30739.0,70,8,3,30727,30749.0
8,0,15873,30739,15875.0,30780.0,70,8,3,30749,30790.0
8,0,15875,30780,5848.0,30801.0,70,8,3,30790,30811.0
8,0,5848,30801,15876.0,30848.0,70,8,3,30811,30858.0
8,0,15876,30848,5850.0,30876.0,70,8,3,30858,30886.0
8,0,5850,30876,17953.0,30923.0,70,8,3,30886,30933.0
8,0,17953,30923,5852.0,30954.0,70,8,3,30933,30964.0
8,0,5852,30954,14496.0,30998.0,70,8,3,30964,31008.0
8,0,14496,30998,5854.0,31023.0,70,8,3,31008,31033.0
8,0,5854,31023,5855.0,31057.0,70,8,3,31033,31067.0
8,0,5855,31057,5856.0,31095.0,70,8,3,31067,31105.0
8,0,5856,31095,5857.0,31129.0,70,8,3,31105,31139.0
8,0,5857,31129,14818.0,31170.0,70,8,3,31139,31180.0
8,0,14818,31170,5859.0,31190.0,70,8,3,31180,31200.0
8,0,5859,31190,5860.0,31214.0,70,8,3,31200,31224.0
8,0,5860,31214,5861.0,31241.0,70,8,3,31224,31251.0
8,0,5861,31241,15086.0,31281.0,70,8,3,31251,31291.0
8,0,15086,31281,5863.0,31312.0,70,8,3,31291,31322.0
8,0,5863,31312,5864.0,31349.0,70,8,3,31322,31359.0
8,0,5864,31349,17472.0,31380.0,70,8,3,31359,31390.0
8,0,5756,26640,5757.0,26684.0,70,8,4,26650,26694.0
8,0,5757,26684,14901.0,26786.0,70,8,4,26694,26796.0
8,0,14901,26786,5759.0,26837.0,70,8,4,26796,26847.0
8,0,5759,26837,5760.0,26913.0,70,8,4,26847,26923.0
8,0,5760,26913,5761.0,26977.0,70,8,4,26923,26987.0
8,0,5761,26977,14906.0,27060.0,70,8,4,26987,27070.0
8,0,14906,27060,14908.0,27112.0,70,8,4,27070,27122.0
8,0,14908,27112,5764.0,27150.0,70,8,4,27122,27160.0
8,0,5764,27150,5765.0,27198.0,70,8,4,27160,27208.0
8,0,5765,27198,14907.0,27251.0,70,8,4,27208,27261.0
8,0,14907,27251,5767.0,27289.0,70,8,4,27261,27299.0
8,0,5767,27289,5768.0,27356.0,70,8,4,27299,27366.0
8,0,5768,27356,5769.0,27428.0,70,8,4,27366,27438.0
8,0,5769,27428,18436.0,27510.0,70,8,4,27438,27520.0
8,0,18436,27510,1349.0,27552.0,70,8,4,27520,27562.0
8,0,1349,27552,5771.0,27604.0,70,8,4,27562,27614.0
8,0,5771,27604,5772.0,27664.0,70,8,4,27614,27674.0
8,0,5772,27664,18468.0,27732.0,70,8,4,27674,27742.0
8,0,18468,27732,5774.0,27792.0,70,8,4,27742,27802.0
8,0,5774,27792,5775.0,27848.0,70,8,4,27802,27858.0
8,0,5775,27848,5776.0,27900.0,70,8,4,27858,27910.0
8,0,5776,27900,15407.0,27934.0,70,8,4,27910,27944.0
8,0,15407,27934,5779.0,27981.0,70,8,4,27944,27991.0
8,0,5779,27981,5780.0,28041.0,70,8,4,27991,28051.0
8,0,5780,28041,15273.0,28170.0,70,8,4,28051,28180.0
8,0,15273,28170,16125.0,28230.0,70,8,4,28180,28240.0
8,0,16125,28230,15347.0,28321.0,70,8,4,28240,28331.0
8,0,15347,28321,5788.0,28440.0,70,8,4,28331,28450.0
8,0,5788,28440,5790.0,28560.0,70,8,4,28450,28570.0
8,0,5790,28560,5792.0,28741.0,70,8,4,28570,28751.0
8,0,5792,28741,15351.0,28855.0,70,8,4,28751,28865.0
8,0,15351,28855,15008.0,28931.0,70,8,4,28865,28941.0
8,0,15008,28931,15352.0,28978.0,70,8,4,28941,28988.0
