from_station_id,to_station_id,time
170.0,139.0,195.0
170.0,168.0,30.0
170.0,169.0,30.0
170.0,171.0,30.0
171.0,99.0,75.0
171.0,168.0,30.0
171.0,169.0,30.0
171.0,170.0,30.0
172.0,116.0,60.0
172.0,173.0,30.0
173.0,137.0,90.0
173.0,172.0,30.0
174.0,175.0,30.0
174.0,202.0,75.0
175.0,109.0,90.0
175.0,174.0,30.0
176.0,154.0,300.0
176.0,177.0,30.0
176.0,178.0,30.0
176.0,179.0,30.0
177.0,155.0,300.0
177.0,176.0,30.0
177.0,178.0,30.0
177.0,179.0,30.0
178.0,166.0,255.0
178.0,176.0,30.0
178.0,177.0,30.0
178.0,179.0,30.0
179.0,167.0,255.0
179.0,176.0,30.0
179.0,177.0,30.0
179.0,178.0,30.0
180.0,181.0,30.0
180.0,200.0,120.0
181.0,117.0,150.0
181.0,180.0,30.0
182.0,122.0,90.0
182.0,183.0,30.0
183.0,182.0,30.0
183.0,192.0,120.0
184.0,4.0,30.0
184.0,35.0,30.0
184.0,158.0,105.0
184.0,185.0,30.0
184.0,186.0,30.0
184.0,187.0,30.0
185.0,4.0,30.0
185.0,35.0,30.0
185.0,111.0,45.0
185.0,184.0,30.0
185.0,186.0,30.0
185.0,187.0,30.0
186.0,4.0,30.0
186.0,35.0,30.0
186.0,112.0,45.0
186.0,184.0,30.0
186.0,185.0,30.0
186.0,187.0,30.0
187.0,4.0,30.0
187.0,35.0,30.0
187.0,113.0,45.0
187.0,184.0,30.0
187.0,185.0,30.0
187.0,186.0,30.0
188.0,189.0,30.0
188.0,214.0,90.0
189.0,188.0,30.0
189.0,199.0,90.0
190.0,53.0,30.0
190.0,182.0,90.0
190.0,191.0,30.0
190.0,192.0,30.0
190.0,193.0,30.0
191.0,53.0,30.0
191.0,190.0,30.0
191.0,192.0,30.0
191.0,193.0,30.0
191.0,246.0,390.0
192.0,53.0,30.0
192.0,148.0,330.0
192.0,190.0,30.0
192.0,191.0,30.0
192.0,193.0,30.0
193.0,53.0,30.0
193.0,190.0,30.0
193.0,191.0,30.0
193.0,192.0,30.0
194.0,195.0,30.0
194.0,196.0,180.0
195.0,194.0,30.0
196.0,197.0,30.0
196.0,210.0,120.0
197.0,195.0,150.0
197.0,196.0,30.0
198.0,188.0,60.0
198.0,199.0,30.0
199.0,198.0,30.0
199.0,241.0,60.0
200.0,114.0,240.0
200.0,201.0,30.0
201.0,181.0,120.0
201.0,200.0,30.0
202.0,136.0,90.0
202.0,203.0,30.0
203.0,175.0,60.0
203.0,202.0,30.0
204.0,205.0,30.0
205.0,204.0,30.0
205.0,225.0,150.0
206.0,207.0,30.0
206.0,208.0,135.0
207.0,105.0,120.0
207.0,206.0,30.0
208.0,209.0,30.0
208.0,234.0,270.0
209.0,207.0,120.0
209.0,208.0,30.0
210.0,124.0,135.0
210.0,211.0,30.0
211.0,197.0,135.0
211.0,210.0,30.0
212.0,67.0,30.0
212.0,129.0,195.0
212.0,213.0,30.0
213.0,67.0,30.0
213.0,212.0,30.0
213.0,245.0,60.0
214.0,215.0,30.0
214.0,226.0,90.0
215.0,189.0,60.0
215.0,214.0,30.0
216.0,217.0,30.0
216.0,218.0,30.0
216.0,219.0,30.0
216.0,230.0,105.0
217.0,216.0,30.0
217.0,218.0,30.0
217.0,219.0,30.0
217.0,231.0,120.0
218.0,146.0,75.0
218.0,216.0,30.0
218.0,217.0,30.0
218.0,219.0,30.0
219.0,147.0,75.0
219.0,216.0,30.0
219.0,217.0,30.0
219.0,218.0,30.0
220.0,71.0,30.0
220.0,144.0,90.0
220.0,221.0,30.0
220.0,222.0,30.0
220.0,223.0,30.0
221.0,71.0,30.0
221.0,145.0,60.0
221.0,220.0,30.0
221.0,222.0,30.0
221.0,223.0,30.0
222.0,71.0,30.0
222.0,156.0,105.0
222.0,220.0,30.0
222.0,221.0,30.0
222.0,223.0,30.0
223.0,71.0,30.0
223.0,157.0,105.0
223.0,220.0,30.0
223.0,221.0,30.0
223.0,222.0,30.0
224.0,204.0,120.0
224.0,225.0,30.0
225.0,133.0,60.0
225.0,224.0,30.0
226.0,227.0,30.0
227.0,215.0,120.0
227.0,226.0,30.0
228.0,229.0,30.0
228.0,236.0,75.0
229.0,127.0,60.0
229.0,228.0,30.0
230.0,78.0,30.0
230.0,126.0,135.0
230.0,231.0,30.0
230.0,232.0,30.0
230.0,233.0,30.0
231.0,78.0,30.0
231.0,149.0,390.0
231.0,230.0,30.0
231.0,232.0,30.0
231.0,233.0,30.0
232.0,78.0,30.0
232.0,218.0,60.0
232.0,230.0,30.0
232.0,231.0,30.0
232.0,233.0,30.0
233.0,78.0,30.0
233.0,219.0,75.0
233.0,230.0,30.0
233.0,231.0,30.0
233.0,232.0,30.0
234.0,84.0,30.0
234.0,85.0,30.0
234.0,185.0,225.0
234.0,235.0,30.0
235.0,84.0,30.0
235.0,85.0,30.0
235.0,209.0,285.0
235.0,234.0,30.0
236.0,237.0,30.0
